source,slug,subtopico,lote,issue_codes
"supabase","amauc-enfermagem-processo-de-enfermagem-1780002549800-3","Urgências e Emergências","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-5","Outras Questões e Questões Mescladas sobre Doenças Crônicas Não Transmissíveis","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-6","Saúde da Mulher","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-7","Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-8","Saúde da Criança","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780004982901-9","Saúde da Mulher","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-0","Doenças Virais de Interesse Epidemiológico (Covid, Influenza, Sarampo, Polio etc.)","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-1","Saúde da Mulher","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-2","Atenção Básica / Saúde da Família","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-3","Promoção à Saúde e Prevenção de Agravos","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-4","Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-5","Promoção à Saúde e Prevenção de Agravos","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780005128081-6","Outras Questões e Questões Mescladas sobre Doenças Crônicas Não Transmissíveis","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780006486032-5","Atenção Básica / Saúde da Família","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780006486032-6","Epidemiologia e Vigilância Epidemiológica","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780006486032-7","Atenção Básica / Saúde da Família","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780006486032-8","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","amauc-enfermagem-processo-de-enfermagem-1780006486032-9","Processo de Enfermagem","","stub_markers"
"supabase","amauc-geral-calculo-de-administracao-de-medicamentos-e-infusoes-1776056274291-6","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-cuidados-na-administracao-de-medicamentos-1778969554207-3","Vias de Administração","","molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-imunizacao-1779564079834-1","Imunização","","molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-imunizacao-1779572207173-8","Imunização","","molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-nocoes-de-fisiologia-1775448586547-7","Verificação de Sinais Vitais","","molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344688622-7","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344701804-0","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056129848-6","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056129848-7","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056158507-0","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056158507-4","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056158507-5","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056158507-6","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056158507-7","Atenção Básica / Saúde da Família","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056181857-0","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056181857-2","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056181857-3","Saúde Mental","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056181857-4","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1776056181857-5","Processo de Enfermagem","","stub_markers;molde_golden_rule_sem_rows"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780001613305-1","Promoção à Saúde e Prevenção de Agravos","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780001613305-2","Enfermagem em Central de Material e Esterilização (CME)","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780001613305-3","Cálculo de Administração de Medicamentos e Infusões","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780001613305-4","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780001613305-5","Processo de Enfermagem","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780001613305-6","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780001613305-8","Cálculo de Administração de Medicamentos e Infusões","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780001673873-0","Infecções no Contexto da Biossegurança","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780001673873-1","Infecções no Contexto da Biossegurança","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780002934000-2","Saúde da Mulher","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780002934000-3","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780002934000-4","Processo de Enfermagem","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780002934000-5","Urgências e Emergências","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780002934000-6","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780002934000-9","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780003031246-0","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780003031246-1","Verificação de Sinais Vitais","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780003031246-2","Verificação de Sinais Vitais","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780003031246-4","Vias de Administração","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780003031246-5","Assistência Perioperatória (Inclui SRPA)","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005556782-5","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005556782-6","Urgências e Emergências","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005556782-8","Verificação de Sinais Vitais","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005556782-9","Processo de Enfermagem","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005791580-0","Enfermagem em Central de Material e Esterilização (CME)","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005791580-1","Epidemiologia e Vigilância Epidemiológica","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005791580-2","Segurança do Paciente","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005791580-4","Atenção Básica / Saúde da Família","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005791580-5","Coleta de Exames Laboratoriais","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780005791580-6","Assistência Perioperatória (Inclui SRPA)","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008225255-3","Verificação de Sinais Vitais","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008225255-5","Verificação de Sinais Vitais","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008225255-6","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008225255-7","Saúde da Mulher","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008225255-8","Processo de Enfermagem","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008225255-9","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008232871-0","Atenção Básica / Saúde da Família","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008232871-1","Cuidados na Administração de Medicamentos","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008232871-2","Mobilização e Posicionamento do Paciente","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008232871-3","Epidemiologia e Vigilância Epidemiológica","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008232871-4","Verificação de Sinais Vitais","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780008232871-5","Verificação de Sinais Vitais","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780011961798-2","Urgências e Emergências","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780011961798-3","Urgências e Emergências","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780011961798-4","Medidas de Prevenção e Precaução de Contato","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780011961798-5","Urgências e Emergências","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780011961798-6","Urgências e Emergências","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780011961798-7","Urgências e Emergências","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780011961798-8","Urgências e Emergências","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780011961798-9","Processamento de Artigos e Produtos de Saúde","","stub_markers"
"supabase","ameosc-enfermagem-processo-de-enfermagem-1780011967989-1","Urgências e Emergências","","stub_markers"
"supabase","ameosc-enfermagem-verificacao-de-sinais-vitais-1779343811344-5","Verificação de Sinais Vitais","","molde_concept_map_sem_items;molde_logic_flow_sem_steps"
"supabase","ameosc-enfermagem-verificacao-de-sinais-vitais-1779343883917-1","Verificação de Sinais Vitais","","molde_concept_map_sem_items;molde_logic_flow_sem_steps"
"supabase","apice-enfermagem-imunizacao-1779564079834-2","Imunização","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-calculo-de-administracao-de-medicamentos-e-infusoes-1776056284398-8","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-calculo-de-administracao-de-medicamentos-e-infusoes-1776056292978-0","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-calculo-de-administracao-de-medicamentos-e-infusoes-1776056292978-1","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-calculo-de-administracao-de-medicamentos-e-infusoes-1776056292978-2","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-calculo-de-administracao-de-medicamentos-e-infusoes-1776056292978-7","Cálculo de Administração de Medicamentos e Infusões","","molde_concept_map_sem_items;molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-exames-laboratoriais-1779563559434-2","Coleta de Exames Laboratoriais","","molde_concept_map_sem_items"
"supabase","avancasp-enfermagem-imunizacao-1777103222102-5","Imunização","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-nutricao-aplicada-a-enfermagem-1777102879099-0","Processo de Enfermagem","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1776056624615-5","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1776056709494-2","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344637595-0","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344637595-1","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344637595-5","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344645032-0","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344667377-1","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344712561-5","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
"supabase","avancasp-enfermagem-oxigenoterapia-e-cuidados-respiratorios-1779344742779-5","Oxigenoterapia e Cuidados Respiratórios","","molde_golden_rule_sem_rows"
